battery_capacity_kwh,charger_power_kw,initial_soc_pct,target_soc_pct,charging_time_hours,energy_required_kwh,temperature_c,battery_age_cycles,vehicle_weight_kg,hour_of_day,estimated_cost_inr,vehicle_model,charger_type,user_type,day_of_week
42.2,47.14,45.1,95.7,0.47,21.57,22.5,1200,1195.0,23,172.56,BMW i3,DC Fast,Commuter,Friday
75.0,6.37,8.1,81.3,9.71,61.47,-6.8,800,1844.0,8,491.76,Tesla Model 3,Level 2,Commuter,Wednesday
40.0,7.0,22.0,93.4,4.52,29.83,9.3,200,1598.0,8,238.64,Nissan Leaf,Level 2,Commuter,Sunday
75.0,45.82,48.2,84.1,0.6,28.57,5.9,1000,1844.0,23,228.56,Tesla Model 3,DC Fast,Commuter,Wednesday
72.6,45.48,38.6,83.4,0.69,33.43,13.4,400,1800.0,23,267.44,Hyundai Ioniq 5,DC Fast,Commuter,Thursday
75.0,6.61,35.2,83.9,5.88,38.41,7.7,400,1979.0,23,307.28,Tesla Model Y,Level 2,Commuter,Sunday
100.0,48.71,44.3,82.1,0.77,39.73,32.2,200,2509.0,14,317.84,Tesla Model X,DC Fast,Commuter,Thursday
100.0,6.6,30.7,92.5,10.71,67.77,42.0,1000,2241.0,14,542.16,Tesla Model S,Level 2,Casual Driver,Thursday
65.0,6.63,28.7,91.1,6.9,44.05,0.5,1500,1800.0,19,352.4,Chevy Bolt EV,Level 2,Commuter,Sunday
75.0,48.74,47.5,83.2,0.57,26.89,18.9,200,1979.0,23,215.12,Tesla Model Y,DC Fast,Commuter,Monday
75.0,44.44,62.3,99.1,0.65,28.22,14.1,600,1979.0,19,225.76,Tesla Model Y,DC Fast,Commuter,Wednesday
75.0,47.52,49.4,100.0,0.88,39.52,10.0,200,1844.0,23,316.16,Tesla Model 3,DC Fast,Commuter,Friday
40.0,6.77,34.8,81.1,2.87,19.27,10.2,800,1598.0,19,154.16,Nissan Leaf,Level 2,Commuter,Friday
40.0,3.01,46.0,97.7,7.68,21.67,31.5,1500,1598.0,19,173.36,Nissan Leaf,Level 1,Commuter,Tuesday
40.0,46.24,30.4,99.2,0.59,29.2,34.5,1400,1598.0,19,233.6,Nissan Leaf,DC Fast,Commuter,Tuesday
72.6,48.11,8.0,82.1,1.22,58.62,-0.5,400,1800.0,23,468.96,Hyundai Ioniq 5,DC Fast,Casual Driver,Sunday
40.0,7.07,24.3,90.4,4.1,27.24,27.3,200,1598.0,23,217.92,Nissan Leaf,Level 2,Commuter,Saturday
100.0,7.03,29.3,82.7,8.02,55.65,9.8,400,2509.0,23,445.2,Tesla Model X,Level 2,Long-Distance Traveler,Wednesday
75.0,6.7,59.3,79.2,2.39,15.87,5.1,400,1979.0,23,126.96,Tesla Model Y,Level 2,Long-Distance Traveler,Wednesday
40.0,3.07,49.5,90.3,5.49,16.4,21.1,400,1598.0,8,131.2,Nissan Leaf,Level 1,Casual Driver,Monday
75.0,44.7,42.5,82.0,0.79,31.5,4.7,1400,1844.0,19,252.0,Tesla Model 3,DC Fast,Casual Driver,Saturday
40.0,7.15,27.1,80.8,3.08,22.03,26.3,1200,1598.0,14,176.24,Nissan Leaf,Level 2,Commuter,Sunday
40.0,7.16,34.2,83.9,2.84,20.22,16.1,600,1598.0,19,161.76,Nissan Leaf,Level 2,Commuter,Tuesday
75.0,3.14,27.5,98.9,18.35,54.09,22.6,200,1844.0,23,432.72,Tesla Model 3,Level 1,Commuter,Saturday
75.0,6.61,44.3,84.2,4.86,31.49,7.4,200,1844.0,23,251.92,Tesla Model 3,Level 2,Commuter,Friday
100.0,6.74,24.8,81.0,8.39,56.57,21.6,1200,2241.0,23,452.56,Tesla Model S,Level 2,Casual Driver,Thursday
100.0,6.53,28.1,96.6,11.17,68.63,19.5,1000,2509.0,23,549.04,Tesla Model X,Level 2,Commuter,Thursday
75.0,45.36,27.8,84.1,1.01,43.13,15.0,1400,1979.0,23,345.04,Tesla Model Y,DC Fast,Commuter,Thursday
75.0,7.19,27.2,83.5,6.14,43.56,27.5,200,1979.0,19,348.48,Tesla Model Y,Level 2,Casual Driver,Tuesday
77.4,6.9,32.3,81.5,5.82,39.85,9.0,200,1960.0,19,318.8,Kia EV6,Level 2,Long-Distance Traveler,Tuesday
75.0,6.43,17.4,84.5,8.5,53.93,3.3,800,1844.0,23,431.44,Tesla Model 3,Level 2,Commuter,Friday
75.0,6.64,51.5,95.2,5.36,33.68,13.3,400,1844.0,19,269.44,Tesla Model 3,Level 2,Commuter,Monday
75.0,6.53,27.8,78.6,6.02,39.07,26.2,1200,1844.0,23,312.56,Tesla Model 3,Level 2,Commuter,Thursday
40.0,48.54,43.5,93.0,0.5,20.19,25.2,400,1598.0,14,161.52,Nissan Leaf,DC Fast,Commuter,Wednesday
100.0,45.41,30.2,97.5,1.78,72.1,3.3,1000,2241.0,23,576.8,Tesla Model S,DC Fast,Commuter,Saturday
75.0,3.23,34.6,78.4,10.59,34.1,11.1,200,1979.0,8,272.8,Tesla Model Y,Level 1,Commuter,Monday
100.0,46.96,19.8,97.6,1.75,78.51,17.7,1500,2241.0,23,628.08,Tesla Model S,DC Fast,Commuter,Saturday
75.0,7.17,40.2,81.2,4.39,31.66,13.2,1000,1844.0,14,253.28,Tesla Model 3,Level 2,Long-Distance Traveler,Monday
75.0,48.39,17.3,82.3,1.07,53.73,-3.0,1000,1844.0,14,429.84,Tesla Model 3,DC Fast,Casual Driver,Friday
40.0,7.14,30.8,80.6,2.73,20.06,18.4,400,1598.0,23,160.48,Nissan Leaf,Level 2,Casual Driver,Friday
75.0,6.48,29.8,93.3,8.12,50.17,7.4,1000,1844.0,19,401.36,Tesla Model 3,Level 2,Commuter,Saturday
75.0,47.52,75.0,97.3,0.41,17.0,24.1,800,1844.0,14,136.0,Tesla Model 3,DC Fast,Commuter,Saturday
100.0,49.92,33.5,93.5,1.34,64.77,1.6,800,2509.0,14,518.16,Tesla Model X,DC Fast,Casual Driver,Friday
42.2,6.78,20.5,80.2,3.71,25.29,20.7,1000,1195.0,23,202.32,BMW i3,Level 2,Commuter,Sunday
75.0,45.03,38.7,82.1,0.72,33.61,27.5,600,1844.0,19,268.88,Tesla Model 3,DC Fast,Casual Driver,Sunday
95.0,48.3,34.3,80.5,0.91,44.6,15.7,600,2585.0,14,356.8,Audi e-tron,DC Fast,Commuter,Saturday
75.0,6.53,38.5,80.6,5.06,33.0,9.3,200,1844.0,23,264.0,Tesla Model 3,Level 2,Long-Distance Traveler,Friday
77.4,7.05,34.3,80.8,5.17,36.29,18.3,400,1960.0,19,290.32,Kia EV6,Level 2,Long-Distance Traveler,Thursday
75.0,47.37,49.9,78.2,0.38,21.91,12.8,400,1979.0,19,175.28,Tesla Model Y,DC Fast,Commuter,Monday
77.4,6.88,39.8,81.8,5.12,34.92,2.8,1400,1960.0,23,279.36,Kia EV6,Level 2,Commuter,Thursday
40.0,6.68,33.7,79.3,2.83,18.95,10.7,1200,1598.0,23,151.6,Nissan Leaf,Level 2,Commuter,Tuesday
65.0,7.02,41.3,83.1,4.19,28.67,32.7,600,1800.0,19,229.36,Chevy Bolt EV,Level 2,Long-Distance Traveler,Thursday
75.0,6.82,33.8,80.0,5.05,35.09,16.5,600,1844.0,14,280.72,Tesla Model 3,Level 2,Commuter,Thursday
100.0,7.16,37.5,80.3,6.1,43.61,24.9,200,2241.0,14,348.88,Tesla Model S,Level 2,Casual Driver,Monday
75.0,2.91,22.4,99.7,23.39,63.38,-1.4,1500,1844.0,23,507.04,Tesla Model 3,Level 1,Casual Driver,Sunday
100.0,3.06,49.2,83.1,11.4,34.26,22.7,1000,2241.0,19,274.08,Tesla Model S,Level 1,Commuter,Saturday
75.0,48.41,43.0,94.6,0.8,39.2,16.6,1200,1844.0,8,313.6,Tesla Model 3,DC Fast,Commuter,Friday
100.0,6.92,21.1,78.6,8.84,61.25,4.5,400,2241.0,23,490.0,Tesla Model S,Level 2,Casual Driver,Friday
100.0,6.85,41.3,99.6,9.62,61.16,8.2,1400,2509.0,14,489.28,Tesla Model X,Level 2,Commuter,Thursday
75.0,47.21,9.8,84.2,1.26,58.59,7.9,400,1844.0,23,468.72,Tesla Model 3,DC Fast,Casual Driver,Friday
40.0,6.99,20.4,97.1,5.04,33.31,0.5,400,1598.0,19,266.48,Nissan Leaf,Level 2,Casual Driver,Monday
75.0,47.28,59.2,78.7,0.36,15.16,11.7,1400,1979.0,19,121.28,Tesla Model Y,DC Fast,Commuter,Friday
100.0,6.65,30.9,93.0,10.37,65.8,5.7,1000,2241.0,14,526.4,Tesla Model S,Level 2,Commuter,Saturday
75.0,6.46,15.4,92.6,10.4,63.91,-3.3,1200,1979.0,14,511.28,Tesla Model Y,Level 2,Casual Driver,Friday
75.0,49.86,33.3,91.7,0.97,46.83,36.2,200,1844.0,23,374.64,Tesla Model 3,DC Fast,Commuter,Friday
75.0,6.36,40.0,90.5,6.48,39.99,7.2,1500,1979.0,14,319.92,Tesla Model Y,Level 2,Commuter,Saturday
72.6,49.7,25.4,93.0,1.03,51.03,29.8,800,1800.0,19,408.24,Hyundai Ioniq 5,DC Fast,Casual Driver,Thursday
100.0,48.31,65.8,82.2,0.41,17.27,32.3,400,2241.0,8,138.16,Tesla Model S,DC Fast,Commuter,Wednesday
40.0,46.48,29.3,98.8,0.64,28.24,15.9,400,1598.0,14,225.92,Nissan Leaf,DC Fast,Commuter,Saturday
75.0,3.13,32.6,84.4,13.65,42.27,-0.4,400,1844.0,19,338.16,Tesla Model 3,Level 1,Long-Distance Traveler,Friday
65.0,46.26,29.9,97.2,1.12,47.45,39.4,1200,1800.0,23,379.6,Chevy Bolt EV,DC Fast,Commuter,Tuesday
100.0,6.45,19.2,91.3,11.76,72.71,18.0,200,2241.0,14,581.68,Tesla Model S,Level 2,Commuter,Tuesday
75.0,45.63,24.6,83.7,1.05,46.58,7.6,600,1844.0,23,372.64,Tesla Model 3,DC Fast,Casual Driver,Wednesday
75.0,7.06,40.4,79.2,4.37,30.86,6.1,800,1979.0,19,246.88,Tesla Model Y,Level 2,Casual Driver,Tuesday
75.0,49.12,54.0,95.3,0.68,32.68,6.5,1000,1844.0,14,261.44,Tesla Model 3,DC Fast,Commuter,Wednesday
42.2,6.69,41.3,91.4,3.3,21.63,14.5,400,1195.0,23,173.04,BMW i3,Level 2,Long-Distance Traveler,Saturday
75.0,7.12,41.9,79.8,4.13,29.77,8.8,200,1844.0,19,238.16,Tesla Model 3,Level 2,Casual Driver,Monday
40.0,45.54,46.1,96.1,0.51,21.43,3.2,1200,1598.0,23,171.44,Nissan Leaf,DC Fast,Commuter,Wednesday
100.0,3.08,47.8,90.2,14.62,43.46,13.6,200,2241.0,19,347.68,Tesla Model S,Level 1,Commuter,Sunday
65.0,6.64,34.4,82.4,4.86,31.42,18.2,1400,1800.0,8,251.36,Chevy Bolt EV,Level 2,Commuter,Wednesday
77.4,45.56,36.3,78.1,0.66,32.6,18.0,1400,1960.0,19,260.8,Kia EV6,DC Fast,Commuter,Tuesday
100.0,6.51,17.0,94.2,13.18,81.29,32.8,600,2241.0,19,650.32,Tesla Model S,Level 2,Commuter,Friday
75.0,6.82,75.0,83.0,1.03,6.76,-8.1,1400,1979.0,19,54.08,Tesla Model Y,Level 2,Commuter,Saturday
75.0,3.17,39.9,91.3,14.23,43.66,-9.6,800,1979.0,19,349.28,Tesla Model Y,Level 1,Long-Distance Traveler,Thursday
75.0,2.97,43.0,79.6,10.03,30.18,-2.6,600,1979.0,23,241.44,Tesla Model Y,Level 1,Commuter,Wednesday
100.0,6.44,14.5,93.5,13.03,80.11,23.5,1000,2241.0,14,640.88,Tesla Model S,Level 2,Commuter,Sunday
77.4,49.07,54.3,84.7,0.53,24.65,31.5,200,1960.0,23,197.2,Kia EV6,DC Fast,Commuter,Saturday
75.0,6.61,44.4,79.8,4.22,27.63,10.2,200,1979.0,19,221.04,Tesla Model Y,Level 2,Casual Driver,Sunday
95.0,3.12,30.0,93.7,21.7,64.54,4.4,200,2585.0,19,516.32,Audi e-tron,Level 1,Long-Distance Traveler,Monday
40.0,6.58,44.9,83.9,2.63,16.93,39.9,1000,1598.0,14,135.44,Nissan Leaf,Level 2,Casual Driver,Wednesday
100.0,47.91,50.2,92.3,0.98,45.23,2.4,400,2241.0,19,361.84,Tesla Model S,DC Fast,Long-Distance Traveler,Tuesday
42.2,6.94,42.4,93.6,3.32,22.11,14.1,1400,1195.0,19,176.88,BMW i3,Level 2,Long-Distance Traveler,Monday
100.0,6.4,41.5,91.7,8.17,50.99,23.7,600,2509.0,8,407.92,Tesla Model X,Level 2,Casual Driver,Monday
95.0,48.23,35.2,82.2,1.02,50.4,-8.5,1000,2585.0,14,403.2,Audi e-tron,DC Fast,Long-Distance Traveler,Thursday
75.0,47.55,30.6,79.4,0.77,38.09,10.0,600,1979.0,23,304.72,Tesla Model Y,DC Fast,Commuter,Monday
95.0,7.02,25.4,99.3,10.8,70.79,18.1,800,2585.0,19,566.32,Audi e-tron,Level 2,Commuter,Thursday
40.0,6.94,8.0,97.8,5.93,38.8,1.5,800,1598.0,23,310.4,Nissan Leaf,Level 2,Commuter,Saturday
65.0,6.48,41.4,79.1,4.17,27.13,-4.2,1500,1800.0,23,217.04,Chevy Bolt EV,Level 2,Long-Distance Traveler,Thursday
75.0,6.51,39.3,83.6,5.4,34.74,30.8,400,1979.0,23,277.92,Tesla Model Y,Level 2,Commuter,Friday
77.4,3.17,29.3,91.2,16.06,48.89,25.3,600,1960.0,8,391.12,Kia EV6,Level 1,Casual Driver,Sunday
40.0,46.11,27.1,78.7,0.45,21.42,29.1,1200,1598.0,23,171.36,Nissan Leaf,DC Fast,Commuter,Friday
75.0,6.54,35.5,83.4,5.95,38.71,38.1,600,1979.0,23,309.68,Tesla Model Y,Level 2,Casual Driver,Friday
40.0,45.74,24.1,94.1,0.66,28.2,18.2,800,1598.0,14,225.6,Nissan Leaf,DC Fast,Commuter,Tuesday
75.0,6.4,43.2,80.1,4.4,28.2,15.0,1000,1844.0,8,225.6,Tesla Model 3,Level 2,Commuter,Wednesday
100.0,44.35,36.7,84.2,1.21,48.86,12.8,1000,2241.0,23,390.88,Tesla Model S,DC Fast,Commuter,Monday
40.0,3.3,33.8,92.6,7.62,24.15,13.2,800,1598.0,23,193.2,Nissan Leaf,Level 1,Casual Driver,Wednesday
100.0,7.03,26.6,99.9,12.2,80.2,-1.5,200,2241.0,23,641.6,Tesla Model S,Level 2,Long-Distance Traveler,Tuesday
40.0,6.7,42.5,99.3,3.56,22.88,22.0,1200,1598.0,19,183.04,Nissan Leaf,Level 2,Commuter,Wednesday
75.0,46.96,41.2,99.8,0.97,44.1,20.8,1000,1979.0,23,352.8,Tesla Model Y,DC Fast,Commuter,Monday
75.0,7.2,31.6,82.3,5.78,40.97,38.1,400,1844.0,14,327.76,Tesla Model 3,Level 2,Long-Distance Traveler,Sunday
100.0,7.13,61.0,80.3,2.89,20.82,37.4,200,2241.0,19,166.56,Tesla Model S,Level 2,Casual Driver,Saturday
75.0,48.02,27.8,84.2,0.88,42.26,20.1,1200,1979.0,19,338.08,Tesla Model Y,DC Fast,Casual Driver,Monday
75.0,47.44,55.6,93.1,0.75,29.5,8.5,1000,1979.0,19,236.0,Tesla Model Y,DC Fast,Commuter,Tuesday
75.0,7.2,23.5,78.8,5.99,43.04,29.0,600,1979.0,14,344.32,Tesla Model Y,Level 2,Commuter,Monday
40.0,7.19,31.0,95.3,4.19,29.17,-9.5,600,1598.0,23,233.36,Nissan Leaf,Level 2,Commuter,Sunday
40.0,6.64,26.2,91.7,4.57,29.13,-5.3,600,1598.0,14,233.04,Nissan Leaf,Level 2,Commuter,Wednesday
75.0,6.79,54.5,78.2,2.81,18.76,7.1,400,1979.0,14,150.08,Tesla Model Y,Level 2,Long-Distance Traveler,Saturday
95.0,6.68,36.5,83.7,6.79,44.99,21.1,600,2585.0,19,359.92,Audi e-tron,Level 2,Casual Driver,Friday
100.0,46.5,34.0,80.2,0.96,46.63,18.0,1200,2509.0,14,373.04,Tesla Model X,DC Fast,Long-Distance Traveler,Monday
75.0,44.65,22.7,81.7,0.98,45.0,15.8,1400,1979.0,8,360.0,Tesla Model Y,DC Fast,Long-Distance Traveler,Thursday
95.0,6.94,47.7,90.4,6.75,44.9,-4.2,800,2585.0,23,359.2,Audi e-tron,Level 2,Commuter,Monday
42.2,45.22,46.4,99.6,0.51,24.32,0.9,200,1195.0,19,194.56,BMW i3,DC Fast,Commuter,Wednesday
65.0,48.19,11.1,83.9,0.97,47.37,19.8,200,1800.0,23,378.96,Chevy Bolt EV,DC Fast,Commuter,Saturday
75.0,46.35,40.2,83.4,0.66,32.72,22.2,400,1844.0,19,261.76,Tesla Model 3,DC Fast,Commuter,Sunday
72.6,6.81,61.7,80.0,2.03,14.22,4.4,600,1800.0,8,113.76,Hyundai Ioniq 5,Level 2,Casual Driver,Sunday
65.0,7.0,33.0,90.8,5.61,37.61,20.6,400,1800.0,23,300.88,Chevy Bolt EV,Level 2,Casual Driver,Friday
77.4,48.29,64.6,81.3,0.28,12.95,20.7,1400,1960.0,23,103.6,Kia EV6,DC Fast,Long-Distance Traveler,Saturday
75.0,7.04,34.7,95.0,7.08,47.66,32.8,1000,1844.0,23,381.28,Tesla Model 3,Level 2,Commuter,Tuesday
95.0,48.48,31.0,93.8,1.48,67.31,-8.4,1400,2585.0,8,538.48,Audi e-tron,DC Fast,Commuter,Tuesday
75.0,7.16,13.0,82.8,8.1,56.84,0.3,600,1844.0,19,454.72,Tesla Model 3,Level 2,Commuter,Friday
40.0,6.5,44.9,79.6,2.17,14.38,10.9,800,1598.0,19,115.04,Nissan Leaf,Level 2,Commuter,Wednesday
75.0,45.58,8.0,84.5,1.33,58.26,16.2,600,1844.0,23,466.08,Tesla Model 3,DC Fast,Commuter,Thursday
95.0,45.55,25.6,97.7,1.68,72.47,6.2,1500,2585.0,23,579.76,Audi e-tron,DC Fast,Commuter,Sunday
42.2,3.3,42.0,90.0,6.72,21.12,29.9,1500,1195.0,19,168.96,BMW i3,Level 1,Long-Distance Traveler,Friday
75.0,47.17,65.7,84.6,0.36,15.08,5.2,800,1979.0,14,120.64,Tesla Model Y,DC Fast,Commuter,Sunday
100.0,7.06,60.5,78.8,2.78,19.29,8.2,200,2509.0,19,154.32,Tesla Model X,Level 2,Commuter,Friday
75.0,6.53,48.7,81.0,4.04,26.02,2.2,400,1844.0,14,208.16,Tesla Model 3,Level 2,Commuter,Monday
40.0,6.61,20.9,82.9,4.07,26.85,0.8,1000,1598.0,19,214.8,Nissan Leaf,Level 2,Commuter,Wednesday
75.0,7.05,40.7,82.9,4.75,33.25,32.0,1400,1979.0,8,266.0,Tesla Model Y,Level 2,Casual Driver,Saturday
65.0,6.46,48.8,78.3,3.05,19.9,11.4,1000,1800.0,8,159.2,Chevy Bolt EV,Level 2,Long-Distance Traveler,Friday
95.0,3.15,23.8,78.8,17.9,56.57,0.8,1400,2585.0,19,452.56,Audi e-tron,Level 1,Commuter,Friday
77.4,7.05,12.5,91.0,8.99,61.36,22.6,200,1960.0,23,490.88,Kia EV6,Level 2,Long-Distance Traveler,Tuesday
95.0,45.02,19.1,99.6,1.89,78.66,26.7,800,2585.0,23,629.28,Audi e-tron,DC Fast,Commuter,Friday
75.0,7.06,28.2,95.5,8.12,54.17,3.1,200,1844.0,19,433.36,Tesla Model 3,Level 2,Long-Distance Traveler,Friday
100.0,6.97,23.0,97.8,12.21,79.82,4.2,600,2509.0,23,638.56,Tesla Model X,Level 2,Casual Driver,Saturday
65.0,46.73,41.8,82.5,0.68,28.62,1.0,600,1800.0,8,228.96,Chevy Bolt EV,DC Fast,Commuter,Wednesday
75.0,48.94,30.0,99.9,1.15,54.06,12.6,200,1844.0,19,432.48,Tesla Model 3,DC Fast,Long-Distance Traveler,Sunday
75.0,48.59,33.6,94.8,0.91,46.59,16.2,200,1979.0,19,372.72,Tesla Model Y,DC Fast,Long-Distance Traveler,Saturday
75.0,6.7,15.2,78.5,7.45,50.2,33.4,200,1844.0,14,401.6,Tesla Model 3,Level 2,Commuter,Tuesday
75.0,6.82,48.5,84.6,4.35,28.96,3.5,400,1844.0,14,231.68,Tesla Model 3,Level 2,Commuter,Monday
75.0,47.57,30.1,99.4,1.22,52.64,23.0,400,1844.0,23,421.12,Tesla Model 3,DC Fast,Commuter,Thursday
42.2,7.18,9.3,81.7,4.38,30.84,22.4,200,1195.0,14,246.72,BMW i3,Level 2,Casual Driver,Saturday
100.0,3.15,41.0,79.8,13.27,41.8,37.9,800,2241.0,8,334.4,Tesla Model S,Level 1,Commuter,Friday
100.0,49.79,39.7,82.1,0.88,43.44,25.6,1200,2509.0,23,347.52,Tesla Model X,DC Fast,Casual Driver,Sunday
72.6,6.52,61.9,82.9,2.66,16.96,-5.1,200,1800.0,23,135.68,Hyundai Ioniq 5,Level 2,Casual Driver,Thursday
65.0,6.57,26.4,98.0,7.71,47.29,15.9,400,1800.0,23,378.32,Chevy Bolt EV,Level 2,Commuter,Tuesday
75.0,7.09,42.8,81.9,4.18,29.59,22.4,1000,1844.0,14,236.72,Tesla Model 3,Level 2,Commuter,Saturday
75.0,6.36,8.0,92.1,10.71,65.46,29.1,800,1844.0,19,523.68,Tesla Model 3,Level 2,Casual Driver,Tuesday
40.0,7.1,24.7,98.1,4.61,31.04,6.5,800,1598.0,23,248.32,Nissan Leaf,Level 2,Commuter,Saturday
75.0,44.97,12.6,81.2,1.3,55.3,2.7,800,1979.0,14,442.4,Tesla Model Y,DC Fast,Long-Distance Traveler,Monday
100.0,6.6,45.4,83.7,6.1,39.7,11.0,1400,2241.0,8,317.6,Tesla Model S,Level 2,Casual Driver,Saturday
72.6,49.15,39.0,82.5,0.68,34.4,40.5,1400,1800.0,19,275.2,Hyundai Ioniq 5,DC Fast,Long-Distance Traveler,Wednesday
40.0,6.48,18.3,79.0,4.07,26.33,0.2,400,1598.0,19,210.64,Nissan Leaf,Level 2,Commuter,Monday
75.0,6.41,21.2,82.5,7.31,46.32,18.1,1500,1979.0,14,370.56,Tesla Model Y,Level 2,Commuter,Tuesday
75.0,46.08,36.8,79.8,0.72,35.03,0.1,600,1979.0,19,280.24,Tesla Model Y,DC Fast,Casual Driver,Tuesday
65.0,6.44,31.1,81.9,5.59,35.93,-0.1,200,1800.0,14,287.44,Chevy Bolt EV,Level 2,Long-Distance Traveler,Tuesday
100.0,46.84,58.2,78.9,0.45,21.08,15.0,200,2241.0,14,168.64,Tesla Model S,DC Fast,Long-Distance Traveler,Thursday
100.0,47.89,43.0,96.4,1.26,55.45,10.7,600,2509.0,23,443.6,Tesla Model X,DC Fast,Commuter,Sunday
75.0,48.97,38.0,81.6,0.74,33.61,13.2,200,1844.0,19,268.88,Tesla Model 3,DC Fast,Commuter,Tuesday
75.0,45.13,27.4,94.3,1.28,52.95,6.7,200,1844.0,19,423.6,Tesla Model 3,DC Fast,Casual Driver,Sunday
72.6,6.83,17.7,81.3,7.0,47.25,25.7,1000,1800.0,8,378.0,Hyundai Ioniq 5,Level 2,Casual Driver,Saturday
65.0,48.73,22.1,83.7,0.82,40.77,24.5,400,1800.0,23,326.16,Chevy Bolt EV,DC Fast,Commuter,Tuesday
75.0,46.19,48.0,91.7,0.75,33.54,14.6,400,1979.0,23,268.32,Tesla Model Y,DC Fast,Casual Driver,Saturday
100.0,6.56,59.4,78.4,3.03,19.73,29.2,400,2241.0,23,157.84,Tesla Model S,Level 2,Commuter,Tuesday
100.0,46.35,38.5,83.1,0.93,45.18,16.3,1200,2241.0,23,361.44,Tesla Model S,DC Fast,Commuter,Tuesday
75.0,45.91,47.7,84.0,0.51,27.34,19.1,600,1844.0,19,218.72,Tesla Model 3,DC Fast,Commuter,Tuesday
75.0,6.42,52.7,79.8,3.32,21.01,27.5,400,1979.0,19,168.08,Tesla Model Y,Level 2,Commuter,Wednesday
100.0,6.93,19.7,80.1,9.45,65.48,0.7,1500,2241.0,23,523.84,Tesla Model S,Level 2,Commuter,Thursday
40.0,44.89,59.2,78.8,0.1,7.96,23.2,400,1598.0,19,63.68,Nissan Leaf,DC Fast,Long-Distance Traveler,Sunday
100.0,46.65,28.3,99.6,1.55,71.29,20.0,200,2509.0,23,570.32,Tesla Model X,DC Fast,Commuter,Friday
75.0,49.61,41.2,81.9,0.69,30.99,16.5,1000,1844.0,8,247.92,Tesla Model 3,DC Fast,Commuter,Friday
