User_ID,Vehicle_Model,Battery_Capacity_kWh,Charging_Station_ID,Charging_Station_Location,Energy_Consumed_kWh,Charging_Duration_Hours,Charging_Rate_kW,Charging_Cost_USD,Time_of_Day,Day_of_Week,State_of_Charge_Start_%,State_of_Charge_End_%,Distance_Driven_km,Temperature_C,Vehicle_Age_years,Charger_Type,User_Type
U1012,Tesla Model Y,75.0,CS192,Public,37.61,0.86,49.09,12.37,Evening,Wednesday,45.4,93.2,86.2,8.6,6,DC Fast,Long-Distance Traveler
U1013,Hyundai Ioniq 5,72.6,CS201,Home,44.21,14.73,3.02,5.9,Evening,Sunday,23.8,82.3,7.5,29.6,5,Level 1,Casual Driver
U1014,Tesla Model 3,75.0,CS477,Highway,51.82,16.65,3.15,5.44,Night,Monday,15.7,83.4,34.3,15.1,8,Level 1,Commuter
U1015,Tesla Model 3,75.0,CS837,Home,40.43,5.89,6.83,6.76,Afternoon,Tuesday,30.3,81.0,127.1,4.9,1,Level 2,Long-Distance Traveler
U1016,Tesla Model 3,75.0,CS196,Workplace,47.81,7.7,6.6,8.01,Night,Sunday,34.5,97.5,46.2,22.9,2,Level 2,Long-Distance Traveler
U1017,Audi e-tron,95.0,CS910,Home,33.1,0.75,49.17,9.79,Evening,Friday,47.4,81.0,33.4,11.4,5,DC Fast,Commuter
U1018,Chevy Bolt EV,65.0,CS992,Workplace,42.78,6.04,7.11,10.35,Night,Friday,19.5,84.6,12.2,17.1,3,Level 2,Casual Driver
U1019,Audi e-tron,95.0,CS942,Public,45.56,14.38,3.28,4.48,Night,Thursday,46.8,91.3,63.0,2.1,3,Level 1,Long-Distance Traveler
U1020,Kia EV6,77.4,CS755,Home,44.62,7.34,6.48,10.32,Night,Saturday,43.3,99.7,36.0,25.7,1,Level 2,Long-Distance Traveler
U1021,BMW i3,42.2,CS180,Highway,29.85,4.32,7.02,5.97,Night,Friday,12.1,81.7,33.0,15.9,3,Level 2,Commuter
U1022,Tesla Model Y,75.0,CS694,Public,40.46,6.11,6.9,8.81,Night,Tuesday,42.0,93.8,223.3,29.8,5,Level 2,Commuter
U1023,BMW i3,42.2,CS265,Home,21.57,0.47,47.14,9.13,Night,Friday,45.1,95.7,131.9,22.5,6,DC Fast,Commuter
U1024,Tesla Model 3,75.0,CS128,Home,61.47,9.71,6.37,11.1,Morning,Wednesday,8.1,81.3,146.8,-6.8,4,Level 2,Commuter
U1025,Nissan Leaf,40.0,CS181,Workplace,29.83,4.52,7.0,4.62,Morning,Sunday,22.0,93.4,27.6,9.3,1,Level 2,Commuter
U1026,Tesla Model 3,75.0,CS147,Home,28.57,0.6,45.82,10.43,Night,Wednesday,48.2,84.1,29.5,5.9,5,DC Fast,Commuter
U1027,Hyundai Ioniq 5,72.6,CS444,Highway,33.43,0.69,45.48,14.14,Night,Thursday,38.6,83.4,19.7,13.4,2,DC Fast,Commuter
U1028,Tesla Model Y,75.0,CS415,Home,38.41,5.88,6.61,7.15,Night,Sunday,35.2,83.9,21.2,7.7,2,Level 2,Commuter
U1029,Tesla Model X,100.0,CS675,Home,39.73,0.77,48.71,11.72,Afternoon,Thursday,44.3,82.1,25.3,32.2,1,DC Fast,Commuter
U1030,Tesla Model S,100.0,CS418,Home,67.77,10.71,6.6,9.46,Afternoon,Thursday,30.7,92.5,39.2,42.0,5,Level 2,Casual Driver
U1031,Chevy Bolt EV,65.0,CS919,Home,44.05,6.9,6.63,6.9,Evening,Sunday,28.7,91.1,96.2,0.5,8,Level 2,Commuter
U1032,Tesla Model Y,75.0,CS690,Workplace,26.89,0.57,48.74,11.01,Night,Monday,47.5,83.2,37.6,18.9,1,DC Fast,Commuter
U1033,Tesla Model Y,75.0,CS655,Highway,28.22,0.65,44.44,10.73,Evening,Wednesday,62.3,99.1,73.2,14.1,3,DC Fast,Commuter
U1034,Tesla Model 3,75.0,CS749,Home,39.52,0.88,47.52,15.54,Night,Friday,49.4,100.0,81.4,10.0,1,DC Fast,Commuter
U1035,Nissan Leaf,40.0,CS857,Public,19.27,2.87,6.77,3.73,Evening,Friday,34.8,81.1,31.2,10.2,4,Level 2,Commuter
U1036,Nissan Leaf,40.0,CS320,Workplace,21.67,7.68,3.01,2.36,Evening,Tuesday,46.0,97.7,58.7,31.5,8,Level 1,Commuter
U1037,Nissan Leaf,40.0,CS300,Highway,29.2,0.59,46.24,9.67,Evening,Tuesday,30.4,99.2,18.0,34.5,7,DC Fast,Commuter
U1038,Hyundai Ioniq 5,72.6,CS688,Workplace,58.62,1.22,48.11,20.57,Night,Sunday,8.0,82.1,29.0,-0.5,2,DC Fast,Casual Driver
U1039,Nissan Leaf,40.0,CS214,Home,27.24,4.1,7.07,4.19,Night,Saturday,24.3,90.4,20.6,27.3,1,Level 2,Commuter
U1040,Tesla Model X,100.0,CS673,Workplace,55.65,8.02,7.03,12.54,Night,Wednesday,29.3,82.7,32.2,9.8,2,Level 2,Long-Distance Traveler
U1041,Tesla Model Y,75.0,CS230,Public,15.87,2.39,6.7,3.71,Night,Wednesday,59.3,79.2,51.3,5.1,2,Level 2,Long-Distance Traveler
U1042,Nissan Leaf,40.0,CS451,Public,16.4,5.49,3.07,2.54,Morning,Monday,49.5,90.3,12.7,21.1,2,Level 1,Casual Driver
U1043,Tesla Model 3,75.0,CS840,Workplace,31.5,0.79,44.7,8.45,Evening,Saturday,42.5,82.0,21.1,4.7,7,DC Fast,Casual Driver
U1044,Nissan Leaf,40.0,CS103,Highway,22.03,3.08,7.15,5.12,Afternoon,Sunday,27.1,80.8,15.4,26.3,6,Level 2,Commuter
U1045,Nissan Leaf,40.0,CS463,Highway,20.22,2.84,7.16,3.03,Evening,Tuesday,34.2,83.9,13.1,16.1,3,Level 2,Commuter
U1046,Tesla Model 3,75.0,CS854,Public,54.09,18.35,3.14,6.22,Night,Saturday,27.5,98.9,35.3,22.6,1,Level 1,Commuter
U1047,Tesla Model 3,75.0,CS927,Home,31.49,4.86,6.61,6.58,Night,Friday,44.3,84.2,15.3,7.4,1,Level 2,Commuter
U1048,Tesla Model S,100.0,CS514,Home,56.57,8.39,6.74,11.49,Night,Thursday,24.8,81.0,27.8,21.6,6,Level 2,Casual Driver
U1049,Tesla Model X,100.0,CS306,Public,68.63,11.17,6.53,10.36,Night,Thursday,28.1,96.6,40.2,19.5,5,Level 2,Commuter
U1050,Tesla Model Y,75.0,CS961,Workplace,43.13,1.01,45.36,18.86,Night,Thursday,27.8,84.1,107.7,15.0,7,DC Fast,Commuter
U1051,Tesla Model Y,75.0,CS489,Home,43.56,6.14,7.19,7.66,Evening,Tuesday,27.2,83.5,76.2,27.5,1,Level 2,Casual Driver
U1052,Kia EV6,77.4,CS780,Workplace,39.85,5.82,6.9,7.15,Evening,Tuesday,32.3,81.5,45.4,9.0,1,Level 2,Long-Distance Traveler
U1053,Tesla Model 3,75.0,CS206,Public,53.93,8.5,6.43,8.22,Night,Friday,17.4,84.5,12.5,3.3,4,Level 2,Commuter
U1054,Tesla Model 3,75.0,CS265,Workplace,33.68,5.36,6.64,6.02,Evening,Monday,51.5,95.2,72.4,13.3,2,Level 2,Commuter
U1055,Tesla Model 3,75.0,CS822,Highway,39.07,6.02,6.53,9.36,Night,Thursday,27.8,78.6,12.7,26.2,6,Level 2,Commuter
U1056,Nissan Leaf,40.0,CS413,Workplace,20.19,0.5,48.54,6.5,Afternoon,Wednesday,43.5,93.0,26.1,25.2,2,DC Fast,Commuter
U1057,Tesla Model S,100.0,CS251,Public,72.1,1.78,45.41,26.11,Night,Saturday,30.2,97.5,20.9,3.3,5,DC Fast,Commuter
U1058,Tesla Model Y,75.0,CS397,Highway,34.1,10.59,3.23,3.3,Morning,Monday,34.6,78.4,37.2,11.1,1,Level 1,Commuter
U1059,Tesla Model S,100.0,CS455,Public,78.51,1.75,46.96,25.87,Night,Saturday,19.8,97.6,25.6,17.7,8,DC Fast,Commuter
U1060,Tesla Model 3,75.0,CS984,Highway,31.66,4.39,7.17,7.17,Afternoon,Monday,40.2,81.2,37.0,13.2,5,Level 2,Long-Distance Traveler
U1061,Tesla Model 3,75.0,CS927,Workplace,53.73,1.07,48.39,14.24,Afternoon,Friday,17.3,82.3,137.0,-3.0,5,DC Fast,Casual Driver
U1062,Nissan Leaf,40.0,CS969,Workplace,20.06,2.73,7.14,3.91,Night,Friday,30.8,80.6,101.7,18.4,2,Level 2,Casual Driver
U1063,Tesla Model 3,75.0,CS360,Public,50.17,8.12,6.48,10.32,Evening,Saturday,29.8,93.3,17.9,7.4,5,Level 2,Commuter
U1064,Tesla Model 3,75.0,CS202,Public,17.0,0.41,47.52,6.15,Afternoon,Saturday,75.0,97.3,19.9,24.1,4,DC Fast,Commuter
U1065,Tesla Model X,100.0,CS466,Home,64.77,1.34,49.92,20.81,Afternoon,Friday,33.5,93.5,23.5,1.6,4,DC Fast,Casual Driver
U1066,BMW i3,42.2,CS143,Public,25.29,3.71,6.78,4.12,Night,Sunday,20.5,80.2,252.7,20.7,5,Level 2,Commuter
U1067,Tesla Model 3,75.0,CS504,Public,33.61,0.72,45.03,10.49,Evening,Sunday,38.7,82.1,21.3,27.5,3,DC Fast,Casual Driver
U1068,Audi e-tron,95.0,CS810,Workplace,44.6,0.91,48.3,12.6,Afternoon,Saturday,34.3,80.5,122.6,15.7,3,DC Fast,Commuter
U1069,Tesla Model 3,75.0,CS561,Public,33.0,5.06,6.53,7.86,Night,Friday,38.5,80.6,24.4,9.3,1,Level 2,Long-Distance Traveler
U1070,Kia EV6,77.4,CS558,Workplace,36.29,5.17,7.05,6.36,Evening,Thursday,34.3,80.8,43.9,18.3,2,Level 2,Long-Distance Traveler
U1071,Tesla Model Y,75.0,CS163,Workplace,21.91,0.38,47.37,8.59,Evening,Monday,49.9,78.2,63.1,12.8,2,DC Fast,Commuter
U1072,Kia EV6,77.4,CS245,Highway,34.92,5.12,6.88,5.82,Night,Thursday,39.8,81.8,70.3,2.8,7,Level 2,Commuter
U1073,Nissan Leaf,40.0,CS204,Workplace,18.95,2.83,6.68,3.44,Night,Tuesday,33.7,79.3,106.9,10.7,6,Level 2,Commuter
U1074,Chevy Bolt EV,65.0,CS570,Public,28.67,4.19,7.02,6.64,Evening,Thursday,41.3,83.1,174.3,32.7,3,Level 2,Long-Distance Traveler
U1075,Tesla Model 3,75.0,CS367,Highway,35.09,5.05,6.82,8.36,Afternoon,Thursday,33.8,80.0,174.3,16.5,3,Level 2,Commuter
U1076,Tesla Model S,100.0,CS407,Workplace,43.61,6.1,7.16,7.6,Afternoon,Monday,37.5,80.3,71.1,24.9,1,Level 2,Casual Driver
U1077,Tesla Model 3,75.0,CS228,Highway,63.38,23.39,2.91,8.34,Night,Sunday,22.4,99.7,15.6,-1.4,8,Level 1,Casual Driver
U1078,Tesla Model S,100.0,CS688,Home,34.26,11.4,3.06,5.26,Evening,Saturday,49.2,83.1,31.1,22.7,5,Level 1,Commuter
U1079,Tesla Model 3,75.0,CS334,Home,39.2,0.8,48.41,17.25,Morning,Friday,43.0,94.6,20.9,16.6,6,DC Fast,Commuter
U1080,Tesla Model S,100.0,CS935,Home,61.25,8.84,6.92,12.54,Night,Friday,21.1,78.6,55.1,4.5,2,Level 2,Casual Driver
U1081,Tesla Model X,100.0,CS387,Public,61.16,9.62,6.85,11.53,Afternoon,Thursday,41.3,99.6,19.0,8.2,7,Level 2,Commuter
U1082,Tesla Model 3,75.0,CS809,Public,58.59,1.26,47.21,17.41,Night,Friday,9.8,84.2,7.9,7.9,2,DC Fast,Casual Driver
U1083,Nissan Leaf,40.0,CS775,Highway,33.31,5.04,6.99,5.4,Evening,Monday,20.4,97.1,97.0,0.5,2,Level 2,Casual Driver
U1084,Tesla Model Y,75.0,CS550,Workplace,15.16,0.36,47.28,5.3,Evening,Friday,59.2,78.7,61.1,11.7,7,DC Fast,Commuter
U1085,Tesla Model S,100.0,CS370,Public,65.8,10.37,6.65,11.0,Afternoon,Saturday,30.9,93.0,29.3,5.7,5,Level 2,Commuter
U1086,Tesla Model Y,75.0,CS373,Workplace,63.91,10.4,6.46,12.15,Afternoon,Friday,15.4,92.6,30.1,-3.3,6,Level 2,Casual Driver
U1087,Tesla Model 3,75.0,CS472,Highway,46.83,0.97,49.86,16.63,Night,Friday,33.3,91.7,9.1,36.2,1,DC Fast,Commuter
U1088,Tesla Model Y,75.0,CS577,Home,39.99,6.48,6.36,8.82,Afternoon,Saturday,40.0,90.5,9.6,7.2,8,Level 2,Commuter
U1089,Hyundai Ioniq 5,72.6,CS899,Workplace,51.03,1.03,49.7,21.9,Evening,Thursday,25.4,93.0,28.4,29.8,4,DC Fast,Casual Driver
U1090,Tesla Model S,100.0,CS132,Workplace,17.27,0.41,48.31,5.32,Morning,Wednesday,65.8,82.2,25.8,32.3,2,DC Fast,Commuter
U1091,Nissan Leaf,40.0,CS458,Public,28.24,0.64,46.48,12.41,Afternoon,Saturday,29.3,98.8,33.8,15.9,2,DC Fast,Commuter
U1092,Tesla Model 3,75.0,CS467,Home,42.27,13.65,3.13,5.27,Evening,Friday,32.6,84.4,28.5,-0.4,2,Level 1,Long-Distance Traveler
U1093,Chevy Bolt EV,65.0,CS788,Public,47.45,1.12,46.26,16.97,Night,Tuesday,29.9,97.2,14.1,39.4,6,DC Fast,Commuter
U1094,Tesla Model S,100.0,CS814,Highway,72.71,11.76,6.45,17.73,Afternoon,Tuesday,19.2,91.3,42.1,18.0,1,Level 2,Commuter
U1095,Tesla Model 3,75.0,CS884,Home,46.58,1.05,45.63,15.43,Night,Wednesday,24.6,83.7,14.2,7.6,3,DC Fast,Casual Driver
U1096,Tesla Model Y,75.0,CS400,Home,30.86,4.37,7.06,5.52,Evening,Tuesday,40.4,79.2,34.2,6.1,4,Level 2,Casual Driver
U1097,Tesla Model 3,75.0,CS666,Workplace,32.68,0.68,49.12,8.68,Afternoon,Wednesday,54.0,95.3,32.6,6.5,5,DC Fast,Commuter
U1098,BMW i3,42.2,CS349,Workplace,21.63,3.3,6.69,4.07,Night,Saturday,41.3,91.4,33.9,14.5,2,Level 2,Long-Distance Traveler
U1099,Tesla Model 3,75.0,CS948,Home,29.77,4.13,7.12,4.44,Evening,Monday,41.9,79.8,62.7,8.8,1,Level 2,Casual Driver
U1100,Nissan Leaf,40.0,CS615,Highway,21.43,0.51,45.54,7.16,Night,Wednesday,46.1,96.1,48.3,3.2,6,DC Fast,Commuter
U1101,Tesla Model S,100.0,CS833,Workplace,43.46,14.62,3.08,5.5,Evening,Sunday,47.8,90.2,75.5,13.6,1,Level 1,Commuter
U1102,Chevy Bolt EV,65.0,CS186,Workplace,31.42,4.86,6.64,4.9,Morning,Wednesday,34.4,82.4,57.8,18.2,7,Level 2,Commuter
U1103,Kia EV6,77.4,CS787,Workplace,32.6,0.66,45.56,12.64,Evening,Tuesday,36.3,78.1,19.6,18.0,7,DC Fast,Commuter
U1104,Tesla Model S,100.0,CS563,Workplace,81.29,13.18,6.51,18.89,Evening,Friday,17.0,94.2,34.3,32.8,3,Level 2,Commuter
U1105,Tesla Model Y,75.0,CS812,Workplace,6.76,1.03,6.82,0.9,Evening,Saturday,75.0,83.0,23.0,-8.1,7,Level 2,Commuter
U1106,Tesla Model Y,75.0,CS309,Workplace,43.66,14.23,3.17,5.24,Evening,Thursday,39.9,91.3,52.3,-9.6,4,Level 1,Long-Distance Traveler
U1107,Tesla Model Y,75.0,CS153,Workplace,30.18,10.03,2.97,3.52,Night,Wednesday,43.0,79.6,7.6,-2.6,3,Level 1,Commuter
U1108,Tesla Model S,100.0,CS907,Highway,80.11,13.03,6.44,16.96,Afternoon,Sunday,14.5,93.5,15.2,23.5,5,Level 2,Commuter
U1109,Kia EV6,77.4,CS995,Workplace,24.65,0.53,49.07,6.96,Night,Saturday,54.3,84.7,75.1,31.5,1,DC Fast,Commuter
U1110,Tesla Model Y,75.0,CS901,Home,27.63,4.22,6.61,4.08,Evening,Sunday,44.4,79.8,38.4,10.2,1,Level 2,Casual Driver
U1111,Audi e-tron,95.0,CS892,Highway,64.54,21.7,3.12,7.42,Evening,Monday,30.0,93.7,206.1,4.4,1,Level 1,Long-Distance Traveler
U1112,Nissan Leaf,40.0,CS178,Highway,16.93,2.63,6.58,3.69,Afternoon,Wednesday,44.9,83.9,5.0,39.9,5,Level 2,Casual Driver
U1113,Tesla Model S,100.0,CS777,Public,45.23,0.98,47.91,16.89,Evening,Tuesday,50.2,92.3,84.3,2.4,2,DC Fast,Long-Distance Traveler
U1114,BMW i3,42.2,CS431,Home,22.11,3.32,6.94,3.82,Evening,Monday,42.4,93.6,27.7,14.1,7,Level 2,Long-Distance Traveler
U1115,Tesla Model X,100.0,CS767,Highway,50.99,8.17,6.4,12.52,Morning,Monday,41.5,91.7,9.2,23.7,3,Level 2,Casual Driver
U1116,Audi e-tron,95.0,CS199,Public,50.4,1.02,48.23,18.51,Afternoon,Thursday,35.2,82.2,15.9,-8.5,5,DC Fast,Long-Distance Traveler
U1117,Tesla Model Y,75.0,CS301,Workplace,38.09,0.77,47.55,10.66,Night,Monday,30.6,79.4,40.9,10.0,3,DC Fast,Commuter
U1118,Audi e-tron,95.0,CS427,Workplace,70.79,10.8,7.02,17.11,Evening,Thursday,25.4,99.3,46.2,18.1,4,Level 2,Commuter
U1119,Nissan Leaf,40.0,CS291,Highway,38.8,5.93,6.94,7.48,Night,Saturday,8.0,97.8,25.1,1.5,4,Level 2,Commuter
U1120,Chevy Bolt EV,65.0,CS267,Home,27.13,4.17,6.48,5.76,Night,Thursday,41.4,79.1,5.0,-4.2,8,Level 2,Long-Distance Traveler
U1121,Tesla Model Y,75.0,CS923,Home,34.74,5.4,6.51,7.19,Night,Friday,39.3,83.6,43.6,30.8,2,Level 2,Commuter
U1122,Kia EV6,77.4,CS158,Home,48.89,16.06,3.17,7.07,Morning,Sunday,29.3,91.2,27.7,25.3,3,Level 1,Casual Driver
U1123,Nissan Leaf,40.0,CS836,Home,21.42,0.45,46.11,6.18,Night,Friday,27.1,78.7,7.9,29.1,6,DC Fast,Commuter
U1124,Tesla Model Y,75.0,CS904,Highway,38.71,5.95,6.54,5.42,Night,Friday,35.5,83.4,36.4,38.1,3,Level 2,Casual Driver
U1125,Nissan Leaf,40.0,CS522,Home,28.2,0.66,45.74,8.21,Afternoon,Tuesday,24.1,94.1,392.2,18.2,4,DC Fast,Commuter
U1126,Tesla Model 3,75.0,CS910,Public,28.2,4.4,6.4,6.83,Morning,Wednesday,43.2,80.1,48.9,15.0,5,Level 2,Commuter
U1127,Tesla Model S,100.0,CS394,Highway,48.86,1.21,44.35,15.72,Night,Monday,36.7,84.2,24.6,12.8,5,DC Fast,Commuter
U1128,Nissan Leaf,40.0,CS828,Home,24.15,7.62,3.3,3.38,Night,Wednesday,33.8,92.6,63.6,13.2,4,Level 1,Casual Driver
U1129,Tesla Model S,100.0,CS626,Home,80.2,12.2,7.03,14.01,Night,Tuesday,26.6,99.9,43.4,-1.5,1,Level 2,Long-Distance Traveler
U1130,Nissan Leaf,40.0,CS431,Public,22.88,3.56,6.7,3.97,Evening,Wednesday,42.5,99.3,176.5,22.0,6,Level 2,Commuter
U1131,Tesla Model Y,75.0,CS177,Highway,44.1,0.97,46.96,15.58,Night,Monday,41.2,99.8,65.5,20.8,5,DC Fast,Commuter
U1132,Tesla Model 3,75.0,CS484,Workplace,40.97,5.78,7.2,7.02,Afternoon,Sunday,31.6,82.3,14.7,38.1,2,Level 2,Long-Distance Traveler
U1133,Tesla Model S,100.0,CS492,Highway,20.82,2.89,7.13,3.85,Evening,Saturday,61.0,80.3,31.6,37.4,1,Level 2,Casual Driver
U1134,Tesla Model Y,75.0,CS870,Public,42.26,0.88,48.02,16.18,Evening,Monday,27.8,84.2,46.3,20.1,6,DC Fast,Casual Driver
U1135,Tesla Model Y,75.0,CS746,Workplace,29.5,0.75,47.44,8.79,Evening,Tuesday,55.6,93.1,26.8,8.5,5,DC Fast,Commuter
U1136,Tesla Model Y,75.0,CS434,Workplace,43.04,5.99,7.2,8.02,Afternoon,Monday,23.5,78.8,97.0,29.0,3,Level 2,Commuter
U1137,Nissan Leaf,40.0,CS722,Home,29.17,4.19,7.19,6.25,Night,Sunday,31.0,95.3,83.4,-9.5,3,Level 2,Commuter
U1138,Nissan Leaf,40.0,CS732,Workplace,29.13,4.57,6.64,6.48,Afternoon,Wednesday,26.2,91.7,73.0,-5.3,3,Level 2,Commuter
U1139,Tesla Model Y,75.0,CS739,Highway,18.76,2.81,6.79,4.32,Afternoon,Saturday,54.5,78.2,28.6,7.1,2,Level 2,Long-Distance Traveler
U1140,Audi e-tron,95.0,CS195,Highway,44.99,6.79,6.68,7.69,Evening,Friday,36.5,83.7,48.4,21.1,3,Level 2,Casual Driver
U1141,Tesla Model X,100.0,CS966,Public,46.63,0.96,46.5,20.72,Afternoon,Monday,34.0,80.2,55.4,18.0,6,DC Fast,Long-Distance Traveler
U1142,Tesla Model Y,75.0,CS915,Home,45.0,0.98,44.65,17.94,Morning,Thursday,22.7,81.7,176.7,15.8,7,DC Fast,Long-Distance Traveler
U1143,Audi e-tron,95.0,CS600,Highway,44.9,6.75,6.94,9.38,Night,Monday,47.7,90.4,27.7,-4.2,4,Level 2,Commuter
U1144,BMW i3,42.2,CS202,Highway,24.32,0.51,45.22,9.22,Evening,Wednesday,46.4,99.6,173.6,0.9,1,DC Fast,Commuter
U1145,Chevy Bolt EV,65.0,CS303,Public,47.37,0.97,48.19,16.75,Night,Saturday,11.1,83.9,13.5,19.8,1,DC Fast,Commuter
U1146,Tesla Model 3,75.0,CS143,Home,32.72,0.66,46.35,10.7,Evening,Sunday,40.2,83.4,57.0,22.2,2,DC Fast,Commuter
U1147,Hyundai Ioniq 5,72.6,CS852,Home,14.22,2.03,6.81,2.08,Morning,Sunday,61.7,80.0,44.3,4.4,3,Level 2,Casual Driver
U1148,Chevy Bolt EV,65.0,CS592,Workplace,37.61,5.61,7.0,7.71,Night,Friday,33.0,90.8,5.8,20.6,2,Level 2,Casual Driver
U1149,Kia EV6,77.4,CS815,Public,12.95,0.28,48.29,3.83,Night,Saturday,64.6,81.3,75.1,20.7,7,DC Fast,Long-Distance Traveler
U1150,Tesla Model 3,75.0,CS318,Workplace,47.66,7.08,7.04,9.73,Night,Tuesday,34.7,95.0,14.0,32.8,5,Level 2,Commuter
U1151,Audi e-tron,95.0,CS858,Public,67.31,1.48,48.48,23.45,Morning,Tuesday,31.0,93.8,8.5,-8.4,7,DC Fast,Commuter
U1152,Tesla Model 3,75.0,CS631,Workplace,56.84,8.1,7.16,10.21,Evening,Friday,13.0,82.8,49.3,0.3,3,Level 2,Commuter
U1153,Nissan Leaf,40.0,CS348,Public,14.38,2.17,6.5,2.31,Evening,Wednesday,44.9,79.6,59.4,10.9,4,Level 2,Commuter
U1154,Tesla Model 3,75.0,CS632,Workplace,58.26,1.33,45.58,23.5,Night,Thursday,8.0,84.5,59.8,16.2,3,DC Fast,Commuter
U1155,Audi e-tron,95.0,CS191,Highway,72.47,1.68,45.55,29.08,Night,Sunday,25.6,97.7,32.1,6.2,8,DC Fast,Commuter
U1156,BMW i3,42.2,CS874,Home,21.12,6.72,3.3,2.27,Evening,Friday,42.0,90.0,10.3,29.9,8,Level 1,Long-Distance Traveler
U1157,Tesla Model Y,75.0,CS658,Highway,15.08,0.36,47.17,6.03,Afternoon,Sunday,65.7,84.6,11.5,5.2,4,DC Fast,Commuter
U1158,Tesla Model X,100.0,CS586,Public,19.29,2.78,7.06,3.37,Evening,Friday,60.5,78.8,75.9,8.2,1,Level 2,Commuter
U1159,Tesla Model 3,75.0,CS800,Highway,26.02,4.04,6.53,4.69,Afternoon,Monday,48.7,81.0,54.3,2.2,2,Level 2,Commuter
U1160,Nissan Leaf,40.0,CS562,Home,26.85,4.07,6.61,4.39,Evening,Wednesday,20.9,82.9,13.3,0.8,5,Level 2,Commuter
U1161,Tesla Model Y,75.0,CS207,Highway,33.25,4.75,7.05,7.47,Morning,Saturday,40.7,82.9,47.0,32.0,7,Level 2,Casual Driver
U1162,Chevy Bolt EV,65.0,CS109,Workplace,19.9,3.05,6.46,4.2,Morning,Friday,48.8,78.3,18.2,11.4,5,Level 2,Long-Distance Traveler
U1163,Audi e-tron,95.0,CS253,Home,56.57,17.9,3.15,7.49,Evening,Friday,23.8,78.8,24.6,0.8,7,Level 1,Commuter
U1164,Kia EV6,77.4,CS803,Workplace,61.36,8.99,7.05,9.22,Night,Tuesday,12.5,91.0,12.5,22.6,1,Level 2,Long-Distance Traveler
U1165,Audi e-tron,95.0,CS467,Highway,78.66,1.89,45.02,28.85,Night,Friday,19.1,99.6,56.9,26.7,4,DC Fast,Commuter
U1166,Tesla Model 3,75.0,CS583,Public,54.17,8.12,7.06,8.21,Evening,Friday,28.2,95.5,57.8,3.1,1,Level 2,Long-Distance Traveler
U1167,Tesla Model X,100.0,CS713,Public,79.82,12.21,6.97,17.04,Night,Saturday,23.0,97.8,86.7,4.2,3,Level 2,Casual Driver
U1168,Chevy Bolt EV,65.0,CS232,Home,28.62,0.68,46.73,7.79,Morning,Wednesday,41.8,82.5,21.6,1.0,3,DC Fast,Commuter
U1169,Tesla Model 3,75.0,CS257,Home,54.06,1.15,48.94,21.85,Evening,Sunday,30.0,99.9,5.7,12.6,1,DC Fast,Long-Distance Traveler
U1170,Tesla Model Y,75.0,CS759,Workplace,46.59,0.91,48.59,14.48,Evening,Saturday,33.6,94.8,91.2,16.2,1,DC Fast,Long-Distance Traveler
